Name, Total,D,I,M,F,U,O, TN, TP
1815_C1_548_4wk,46740,174,0,0,62,63,50,46151,218
1815_C1_616_4wk,40170,238,1830,0,0,24,114,24584,14626
1815_C1_694_4wk,33450,0,0,0,0,0,104,30480,2305
1815_C2_543_4wk,10500,438,0,72,0,25,0,3197,6377
1815_C2_624_4wk,10920,209,240,0,0,30,0,9529,1040
1815_C2_627_4wk,10200,172,0,126,0,55,0,6775,2743
1815_C2_703_4wk,10320,193,0,87,4,41,0,5898,4023
1815_C3_544_4wk,11160,62,300,42,30,0,0,5992,4370
1815_C3_611_4wk,10590,210,30,0,59,26,0,8674,1309
1815_C3_693_4wk,11760,106,390,114,87,0,0,7179,3884
1815_C3_704_4wk,10650,411,240,52,0,0,47,7068,2631
1815_C4_529_4wk,10140,105,90,136,60,26,0,4323,5105
1815_C4_623_4wk,9030,244,30,84,50,30,0,5990,2449
1815_C4_862_4wk,10680,9,0,80,0,0,99,2571,7569
1816_C1_542_4wk,10800,165,30,159,0,35,0,6590,3246
1816_C1_547_4wk,10200,201,300,0,0,0,0,6847,2906
1816_C2_611_4wk,9990,236,30,0,340,0,0,8738,511
1816_C3_692_4wk,10830,139,30,0,30,79,0,7383,2858
1816_C3_695_4wk,10800,35,0,0,0,0,29,6706,3550
1816_C3_696_4wk,10140,182,120,55,0,0,0,6604,3125
